nom;disp_j;disp_h;lat_coor1;long_coor1;adr_num;adr_voie;disp_complt;date_instal;modele;dermnt;expt_siren;objectid;id;identifiant;gestionnaire;activite;quartier;type;echeance_pile;echeance_adulte;echeance_pediatrique
DAE-Mobilier urbain Grand Place, côté Jean-Jaurès;Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche;heures ouvrables|heures de nuit|24h/24;48.8378324;2.2402341;;Grand'place;;;;2020-07-10;219200128;33;999;;Decaux;Mobilier urbain;5;Mobilier Urbain;;;
DAE-Mobilier urbain 25 av. André-Morizet;Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche;heures ouvrables|heures de nuit|24h/24;48.8375866;2.2480272;25;avenue André-Morizet;;;;2020-07-10;219200128;35;997;;Decaux;Mobilier urbain;5;Mobilier Urbain;;;
DAE-Place Jules-Guesde;Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche;heures ouvrables|heures de nuit|24h/24;48.827437;2.2419933;;place Jules Guesde;;;;2020-07-10;219200128;36;996;;Decaux;Mobilier urbain;4;Mobilier Urbain;;;
DAE-Bricorama;Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche;heures ouvrables;48.8305961;2.2352296;701;avenue du Général Leclerc;;;;2020-07-10;406680314;37;995;;Decaux;Commerce (magasin de bricolage);4;Mobilier Urbain;;;
DAE-Stade Le Gallo - Salle de musculation;Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche;heures ouvrables;48.8369312;2.2261467;28;rue de Sèvres;en commande;2018-01-01;Zoll;2020-07-10;219200128;977;34;X17L977795;Ville de Boulogne-Billancourt;Salle de sport;2;Etablissement Public;2022-01-01;2023-03-02;
DAE-Élémentaire Castéja;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8288154;2.2348442;1384;rue du Vieux Pont de Sèvres;;2018-01-01;Zoll;2020-07-10;219200128;1602;39;X18A988162;Ville de Boulogne-Billancourt;Ecole élémentaire;3;Etablissement Public;2022-01-01;2023-04-13;2021-10-26
DAE-Elémentaire Escudier;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8437097;2.2390223;51;rue Escudier;;2018-01-01;Zoll;2020-07-10;219200128;1297;36;X18A987961;Ville de Boulogne-Billancourt;Ecole élémentaire;6;Etablissement Public;2022-01-01;2023-04-13;2021-10-26
DAE-Élémentaire Billancourt;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8326518;2.237465;174;rue de Billancourt;;2018-01-01;Zoll;2020-07-10;219200128;1603;40;X18A988041;Ville de Boulogne-Billancourt;Ecole élémentaire;2;Etablissement Public;2022-01-01;2023-04-13;2021-10-26
DAE-Élémentaire Ferdinand buisson;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8282739;2.2505982;14;rue de Seine;;2018-01-01;Zoll;2020-07-10;219200128;1604;41;X18A988143;Ville de Boulogne-Billancourt;Ecole élémentaire;4;Etablissement Public;2022-01-01;2023-04-13;2021-10-26
DAE-Maternelle Peupliers;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8323434;2.2571665;16;rue des Peupliers;;2018-01-01;Zoll;2020-07-10;219200128;1605;46;X17K974688;Ville de Boulogne-Billancourt;Ecole maternelle;4;Etablissement Public;2022-01-01;2023-04-06;2021-10-26
DAE-Maternelle Jacques Deray;Lundi|Mardi|Mercredi|Jeudi|Vendredi;heures ouvrables;48.8387677;2.2377812;109;rue d'Aguesseau;;2018-01-01;Zoll;2020-07-10;219200128;1605;45;X17K976736;Ville de Boulogne-Billancourt;Ecole maternelle;5;Etablissement Public;2022-01-01;2023-04-06;2021-10-26
DAE-Hôtel de Ville;lundi|mardi|mercredi|jeudi|vendredi|samedi;heures ouvrables;48.83669662475586;2.237072467803955;26;avenue André-Morizet;batterie remplacée le lundi 15 mai 2017;2016-01-01;Power heart G5;2020-07-10;219200128;22;22;D00000047782;Ville de Boulogne-Billancourt;Administration générale;5;Etablissement Public;2021-02-28;2021-05-28;2021-08-28
